status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness
NEW,Snow & Ice Scientist Engineer,RWDI,"Guelph, ON",2025-02-06,Collaborating with senior professionals to find safe and practical solutions for challenging issues related to snow loading and falling snow & ice. Coordinating with diverse team to deliver top advice…,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=31cac5210ddddce6,IndeedScraperCANEng_31cac5210ddddce6,IndeedScraperCANEng,Python,CANADA_ENGLISH,$58000 - $75000 yearly,UNKNOWN
NEW,"Student Researcher, PhD, Winter/Summer 2025",Google,"Waterloo, ON",2025-01-22,"This opportunity is intended for students who are pursuing a PhD degree program in Computer Science or a related field. Our Student Researcher opportunities are flexible in time commitment, length of…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=7a3776bbc2fc3649,IndeedScraperCANEng_7a3776bbc2fc3649,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Robotics Software Engineering Student Intern,Lincoln Electric,"Waterloo, ON N2L 5V4",2025-02-07,"Lincoln Electric is the world leader in the engineering, design, and manufacturing of advanced arc welding solutions, automated joining, assembly and cutting systems, plasma and oxy-fuel cutting…","Job types: Full-time, Internship / Co-op
Job types cc: Full-time, Internship / Co-op",https://www.indeed.ca/m/viewjob?jk=24ddc4ca1628f6b6,IndeedScraperCANEng_24ddc4ca1628f6b6,IndeedScraperCANEng,Python,CANADA_ENGLISH,$33280 - $41600 yearly,UNKNOWN
NEW,Senior Automation DevOps Engineer (Building CICD and Integration),Ansys,"Waterloo, ON N2J 4G8",2025-02-11,"Requisition #: 15929 Our Mission: Powering Innovation That Drives Human Advancement When visionary companies need to know how their world-changing ideas will perform, they close the gap between…",,https://www.indeed.ca/m/viewjob?jk=f878a26d48c06c0d,IndeedScraperCANEng_f878a26d48c06c0d,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Data Analyst (4 Vacancies),Conestoga College,"Cambridge, ON",2025-02-11,"Requisition #: 25-0028 Location: Cambridge Department: Canadian Institute for Safety, Wellness & Performance Payband: 10 Payband Range: $85,529.00 - $106,911.00 Hours/Week: 37.5 Posting Date: Monday…","Job types: Full-time
Remote: Hybrid work
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=9124f1f6bb74aab5,IndeedScraperCANEng_9124f1f6bb74aab5,IndeedScraperCANEng,Python,CANADA_ENGLISH,$85529 - $106911 yearly,TEMPORARILY_REMOTE
NEW,"Principal, Systems Software Engineer - Runtime",Untether AI,"Kitchener-Waterloo, ON",2025-01-22,"You will evangelize, architect, and implement key aspects of our production kernel and user-mode drivers, their APIs, and the corresponding toolchain. Excellent C and C++ programming skills.","Job types: Full-time
Remote: Hybrid work
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=1cbf130c7a8c5478,IndeedScraperCANEng_1cbf130c7a8c5478,IndeedScraperCANEng,Python,CANADA_ENGLISH,,TEMPORARILY_REMOTE
NEW,"Étudiant-chercheur, baccalauréat ou maîtrise, hiver/été 2025",Google,"Waterloo, ON",2025-01-22,"Les candidatures seront examinées sur une base continue; les candidats ont donc intérêt à postuler rapidement. La période de dépôt des candidatures prévue est ouverte jusqu'au 11 juillet 2025, mais…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=73ebc8c38fc08419,IndeedScraperCANEng_73ebc8c38fc08419,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Senior Software Engineer - Place and Route,Untether AI,"Kitchener-Waterloo, ON",2025-01-22,"Strong C++ and python development skills. Proficient with python data-science libraries (pandas, numpy, bokeh). By creating software that fully realizes the capabilities of the hardware, you will help…","Job types: Full-time
Remote: Hybrid work
Benefits: Extended health care, Stock options
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=3c37f2126870f4d0,IndeedScraperCANEng_3c37f2126870f4d0,IndeedScraperCANEng,Python,CANADA_ENGLISH,,TEMPORARILY_REMOTE
NEW,R&D Engineer II - High-Speed Flow Model Development,Ansys,"Waterloo, ON N2J 4G8",2025-02-05,"Requisition #: 16048 Our Mission: Powering Innovation That Drives Human Advancement When visionary companies need to know how their world-changing ideas will perform, they close the gap between…",,https://www.indeed.ca/m/viewjob?jk=8a62df26612f61f8,IndeedScraperCANEng_8a62df26612f61f8,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,"Senior Data Analyst, Revenue Operations",D2L,"Kitchener, ON",2025-01-22,"The old models of teaching and learning are in the midst of the largest transformation in history, and D2L is at the heart of that fundamental shift. Assist in modeling revenue impacts of new products…","Job types: Full-time
Benefits: Tuition reimbursement
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=03c122cf62e31249,IndeedScraperCANEng_03c122cf62e31249,IndeedScraperCANEng,Python,CANADA_ENGLISH,$87000 - $100000 yearly,UNKNOWN
